year	import	grain	export	soybean	harvest	wheat	cereal	crop	barley	cotton	sorghum
1989	13.0	7.33333333333	3.33333333333	3.33333333333	1.66666666667	2.0	1.0	1.0	2.0	1.33333333333	1.33333333333
1990	15.0	7.33333333333	2.66666666667	3.66666666667	2.33333333333	2.33333333333	1.33333333333	1.33333333333	2.0	1.33333333333	2.0
1991	14.6666666667	7.66666666667	2.33333333333	3.33333333333	2.33333333333	2.0	2.0	1.33333333333	1.33333333333	1.66666666667	2.33333333333
1992	14.6666666667	7.66666666667	2.33333333333	2.66666666667	2.33333333333	2.0	3.0	1.33333333333	2.0	1.66666666667	2.0
1993	12.0	8.0	3.33333333333	2.0	2.0	1.66666666667	2.66666666667	1.0	2.0	2.0	1.33333333333
1994	13.0	8.33333333333	4.66666666667	2.66666666667	2.0	3.0	2.0	1.33333333333	2.0	1.33333333333	1.0
1995	15.3333333333	9.0	5.0	3.33333333333	2.33333333333	3.0	1.0	1.33333333333	1.33333333333	2.33333333333	1.33333333333
1996	16.3333333333	8.66666666667	6.0	4.0	2.0	2.66666666667	1.33333333333	1.33333333333	1.33333333333	2.66666666667	1.66666666667
1997	15.0	9.0	5.33333333333	2.66666666667	2.33333333333	2.0	2.0	1.0	1.66666666667	2.66666666667	2.66666666667
1998	11.6666666667	6.0	7.0	2.0	3.0	2.33333333333	2.33333333333	1.0	2.0	1.66666666667	2.66666666667
1999	11.6666666667	6.66666666667	7.33333333333	1.66666666667	3.0	3.0	2.33333333333	1.0	2.33333333333	1.33333333333	3.0
2000	12.6666666667	6.66666666667	9.0	2.0	4.0	2.33333333333	1.66666666667	1.66666666667	2.33333333333	2.0	2.0
2001	13.3333333333	13.3333333333	9.33333333333	2.66666666667	3.33333333333	3.33333333333	2.0	2.0	2.33333333333	2.33333333333	2.33333333333
2002	14.0	11.6666666667	8.33333333333	2.66666666667	4.33333333333	3.66666666667	2.0	2.66666666667	2.0	2.33333333333	2.33333333333
2003	15.3333333333	12.6666666667	7.33333333333	4.0	4.66666666667	4.66666666667	2.33333333333	2.66666666667	1.66666666667	2.0	2.33333333333
2004	18.3333333333	8.0	4.33333333333	3.33333333333	5.0	3.66666666667	2.33333333333	2.66666666667	1.33333333333	2.0	1.66666666667
2005	18.3333333333	11.3333333333	8.0	3.0	6.66666666667	3.0	2.0	3.33333333333	1.0	3.0	1.33333333333
2006	19.0	12.3333333333	9.33333333333	2.0	8.33333333333	3.66666666667	2.0	3.0	1.0	2.66666666667	1.66666666667
2007	19.0	15.3333333333	14.3333333333	2.0	13.3333333333	3.33333333333	2.0	3.66666666667	1.0	4.0	1.66666666667
2008	19.3333333333	16.0	13.3333333333	3.33333333333	19.6666666667	3.33333333333	3.33333333333	4.33333333333	1.0	3.33333333333	1.33333333333
2009	19.0	17.3333333333	18.6666666667	3.0	24.3333333333	1.66666666667	3.33333333333	4.66666666667	1.0	3.66666666667	1.0
2010	16.0	14.6666666667	18.0	4.0	23.6666666667	2.33333333333	3.0	5.33333333333	1.0	2.0	1.0
2011	16.6666666667	14.6666666667	14.3333333333	2.66666666667	23.6666666667	3.0	2.0	4.33333333333	1.33333333333	1.66666666667	1.0
2012	17.0	12.6666666667	7.33333333333	2.66666666667	24.6666666667	3.66666666667	2.0	5.0	1.33333333333	1.33333333333	1.33333333333
2013	19.0	14.5	4.0	1.5	28.5	3.5	2.0	4.5	1.5	1.5	1.5
2014	19.0	13.0	5.0	2.0	28.0	3.0	2.0	5.0	1.0	1.0	2.0
