year	berkeley	stanford	princeton	harvard	ithaca	pasadena	professor	amherst	dartmouth	georgetown
2000	4.0	3.33333333333	4.33333333333	3.66666666667	1.0	1.66666666667	1.66666666667	2.33333333333	3.0	1.33333333333
2001	5.33333333333	2.66666666667	4.66666666667	4.0	1.66666666667	1.66666666667	2.33333333333	2.33333333333	3.33333333333	1.33333333333
2002	5.33333333333	2.66666666667	4.66666666667	3.0	2.33333333333	1.66666666667	2.66666666667	2.33333333333	2.66666666667	1.66666666667
2003	5.0	4.33333333333	3.0	3.66666666667	2.33333333333	2.33333333333	2.33333333333	1.66666666667	2.33333333333	1.66666666667
2004	5.0	4.66666666667	2.33333333333	3.0	2.0	2.0	2.33333333333	2.33333333333	2.0	2.0
2005	6.0	6.33333333333	2.33333333333	3.0	1.33333333333	1.66666666667	2.33333333333	2.0	2.0	1.33333333333
2006	5.66666666667	4.66666666667	2.66666666667	1.66666666667	1.33333333333	1.0	2.0	2.33333333333	2.0	1.33333333333
2007	6.66666666667	4.0	3.0	2.66666666667	2.0	1.66666666667	1.33333333333	1.66666666667	2.0	1.33333333333
2008	5.33333333333	3.66666666667	2.66666666667	2.66666666667	2.0	1.66666666667	1.0	1.33333333333	1.66666666667	1.66666666667
2009	7.66666666667	4.33333333333	3.0	2.66666666667	2.33333333333	2.0	1.33333333333	1.33333333333	1.0	1.66666666667
2010	6.66666666667	5.0	3.0	1.66666666667	1.33333333333	1.33333333333	1.33333333333	1.33333333333	1.33333333333	2.0
2011	6.66666666667	3.33333333333	4.33333333333	1.33333333333	1.33333333333	1.33333333333	1.33333333333	1.66666666667	1.33333333333	2.0
2012	5.33333333333	3.0	4.33333333333	1.33333333333	1.0	1.33333333333	1.66666666667	1.33333333333	1.33333333333	3.0
2013	5.0	2.5	4.5	1.0	1.0	1.5	2.0	1.5	1.0	3.0
2014	6.0	3.0	4.0	1.0	1.0	2.0	3.0	1.0	1.0	4.0
