year	cooper	gordon	harmon	black	white	brown	chapman	william	clark	jackson	shannon	taylor	palmer	drake	walker
1991	312.333333333	22.3333333333	16.3333333333	9.66666666667	5.66666666667	4.0	3.33333333333	2.33333333333	3.0	3.0	2.0	1.66666666667	2.0	1.0	2.0
1992	291.666666667	24.6666666667	20.6666666667	9.33333333333	5.33333333333	3.66666666667	4.0	2.66666666667	3.0	2.66666666667	2.0	2.0	2.66666666667	1.0	2.33333333333
1993	278.333333333	23.6666666667	19.0	11.6666666667	5.33333333333	4.0	2.66666666667	3.0	2.33333333333	2.0	2.0	2.33333333333	2.66666666667	1.0	2.66666666667
1994	280.333333333	25.0	19.3333333333	12.3333333333	5.33333333333	5.33333333333	3.33333333333	3.0	2.66666666667	2.66666666667	2.0	1.66666666667	2.0	1.0	2.66666666667
1995	301.666666667	24.6666666667	18.3333333333	15.3333333333	5.66666666667	6.33333333333	3.0	4.0	2.66666666667	2.33333333333	2.0	2.66666666667	1.33333333333	1.0	1.33333333333
1996	317.666666667	25.3333333333	16.6666666667	15.0	6.0	5.33333333333	3.0	3.66666666667	2.33333333333	2.33333333333	2.33333333333	2.33333333333	1.0	1.33333333333	1.0
1997	307.0	25.6666666667	16.3333333333	16.0	6.33333333333	4.0	3.0	4.33333333333	2.0	1.66666666667	2.0	2.33333333333	1.66666666667	1.33333333333	1.0
1998	288.333333333	27.6666666667	16.6666666667	17.6666666667	6.66666666667	3.66666666667	2.66666666667	3.0	2.66666666667	2.0	2.0	2.0	1.66666666667	1.33333333333	1.33333333333
1999	259.0	30.0	19.0	18.6666666667	5.33333333333	4.0	3.66666666667	5.0	3.33333333333	2.66666666667	2.33333333333	3.0	2.0	1.66666666667	1.66666666667
2000	244.0	33.3333333333	19.3333333333	22.0	7.33333333333	5.33333333333	3.66666666667	3.66666666667	3.33333333333	2.33333333333	2.0	4.33333333333	2.33333333333	1.66666666667	4.0
2001	230.666666667	30.3333333333	17.6666666667	22.3333333333	9.33333333333	5.33333333333	3.66666666667	3.66666666667	2.66666666667	2.33333333333	2.66666666667	5.66666666667	2.66666666667	2.66666666667	3.66666666667
2002	227.666666667	30.3333333333	21.0	24.6666666667	10.3333333333	6.66666666667	2.66666666667	2.0	1.66666666667	2.33333333333	2.0	4.66666666667	3.66666666667	3.0	3.66666666667
2003	180.0	33.3333333333	23.3333333333	21.0	8.33333333333	5.66666666667	2.66666666667	2.0	2.33333333333	3.0	2.33333333333	4.0	3.33333333333	4.66666666667	1.33333333333
2004	120.666666667	37.3333333333	25.3333333333	25.3333333333	6.66666666667	5.66666666667	2.0	2.33333333333	2.33333333333	2.33333333333	2.33333333333	3.33333333333	3.66666666667	3.66666666667	2.0
2005	74.3333333333	37.0	22.6666666667	24.6666666667	7.33333333333	4.66666666667	2.33333333333	1.66666666667	3.33333333333	1.66666666667	2.33333333333	4.0	2.33333333333	5.66666666667	2.0
2006	60.6666666667	34.6666666667	23.0	31.0	8.0	5.0	2.66666666667	2.33333333333	2.66666666667	2.0	2.33333333333	3.66666666667	2.0	4.0	2.0
2007	73.3333333333	32.3333333333	23.3333333333	34.3333333333	7.33333333333	3.66666666667	4.0	3.66666666667	2.66666666667	2.0	1.66666666667	3.33333333333	1.33333333333	4.66666666667	1.66666666667
2008	70.3333333333	39.6666666667	21.6666666667	37.3333333333	7.0	2.66666666667	4.33333333333	4.33333333333	1.66666666667	2.33333333333	1.66666666667	3.33333333333	1.33333333333	4.33333333333	2.66666666667
2009	72.0	37.6666666667	17.0	35.6666666667	6.66666666667	4.0	4.0	5.0	2.0	1.66666666667	1.66666666667	3.0	1.66666666667	5.0	4.0
2010	57.6666666667	37.0	15.0	28.3333333333	7.66666666667	5.66666666667	4.33333333333	3.33333333333	1.66666666667	2.33333333333	2.33333333333	2.0	1.66666666667	5.33333333333	4.0
2011	49.6666666667	25.0	18.0	27.0	6.66666666667	7.33333333333	4.33333333333	3.0	2.33333333333	2.0	2.66666666667	4.0	4.33333333333	3.66666666667	2.66666666667
2012	48.3333333333	21.3333333333	17.0	23.6666666667	6.33333333333	6.33333333333	4.33333333333	2.66666666667	1.66666666667	1.66666666667	2.66666666667	4.0	4.0	4.33333333333	3.33333333333
2013	52.5	17.5	17.0	23.5	4.5	6.0	3.5	3.0	2.0	1.0	2.5	5.0	5.5	4.5	4.0
2014	50.0	21.0	11.0	19.0	6.0	5.0	3.0	4.0	1.0	1.0	2.0	1.0	2.0	5.0	7.0
