year	sweden	polish	switzerland	norway	poland	denmark	austria	berlin	finland	belgium	moscow	romania	norwegian	bulgaria	amsterdam
1990	3.66666666667	2.33333333333	2.0	3.66666666667	2.66666666667	2.33333333333	3.33333333333	2.0	1.66666666667	2.33333333333	3.33333333333	1.33333333333	1.33333333333	1.66666666667	2.0
1991	3.66666666667	2.33333333333	1.66666666667	3.0	4.66666666667	2.66666666667	4.33333333333	2.0	1.33333333333	2.66666666667	2.0	1.33333333333	1.33333333333	1.66666666667	1.66666666667
1992	3.0	4.0	4.33333333333	3.66666666667	5.33333333333	2.33333333333	3.0	1.33333333333	1.66666666667	3.0	1.0	1.33333333333	1.33333333333	1.66666666667	1.0
1993	3.66666666667	4.0	3.66666666667	3.33333333333	5.33333333333	1.66666666667	3.0	1.66666666667	1.66666666667	2.0	1.0	1.33333333333	1.66666666667	2.0	1.33333333333
1994	3.33333333333	5.33333333333	4.66666666667	3.0	3.66666666667	2.0	2.0	1.33333333333	1.66666666667	2.0	1.0	1.33333333333	1.66666666667	2.66666666667	2.0
1995	2.66666666667	5.33333333333	2.66666666667	2.33333333333	3.33333333333	2.33333333333	2.66666666667	1.33333333333	1.66666666667	1.66666666667	1.33333333333	1.33333333333	1.33333333333	2.66666666667	2.0
1996	1.66666666667	7.0	3.0	2.33333333333	2.0	2.0	2.33333333333	1.0	1.66666666667	1.66666666667	1.33333333333	1.0	1.0	2.33333333333	1.66666666667
1997	2.66666666667	6.33333333333	2.66666666667	1.66666666667	2.0	2.0	2.0	1.0	2.33333333333	1.33333333333	2.0	1.0	1.33333333333	1.33333333333	1.0
1998	4.0	4.66666666667	3.0	3.33333333333	1.33333333333	2.66666666667	1.33333333333	1.0	2.33333333333	1.33333333333	1.66666666667	1.33333333333	1.66666666667	1.0	1.66666666667
1999	4.33333333333	3.0	3.33333333333	3.33333333333	1.33333333333	3.66666666667	1.66666666667	1.0	2.0	1.0	2.0	2.0	2.0	1.33333333333	1.66666666667
2000	3.0	3.33333333333	3.33333333333	3.66666666667	1.33333333333	3.0	1.66666666667	1.33333333333	1.66666666667	1.0	1.33333333333	2.33333333333	1.66666666667	1.66666666667	1.66666666667
2001	2.0	3.66666666667	3.0	3.0	2.33333333333	2.33333333333	1.66666666667	1.33333333333	3.0	1.66666666667	2.0	3.0	1.33333333333	2.0	1.0
2002	2.66666666667	3.33333333333	2.33333333333	4.0	2.33333333333	1.66666666667	1.66666666667	3.33333333333	3.33333333333	2.33333333333	2.33333333333	3.0	1.33333333333	1.66666666667	1.0
