year	calcium	boron	filament	sodium	lithium	gallium	potassium	germanium	molybdenum	selenium	tungsten	magnesium	barium	cadmium	vanadium
1994	12.3333333333	6.66666666667	7.33333333333	5.33333333333	3.33333333333	5.66666666667	3.0	3.0	2.0	3.0	4.33333333333	2.0	3.33333333333	2.0	1.0
1995	13.6666666667	6.0	7.0	4.66666666667	3.33333333333	4.33333333333	3.66666666667	3.0	2.33333333333	3.66666666667	4.0	1.66666666667	2.33333333333	1.66666666667	1.0
1996	11.6666666667	5.33333333333	6.66666666667	3.0	4.33333333333	3.33333333333	4.33333333333	3.0	2.0	4.0	2.33333333333	1.66666666667	2.0	2.0	1.0
1997	10.6666666667	4.66666666667	6.66666666667	5.33333333333	6.33333333333	3.33333333333	5.0	2.33333333333	2.0	3.66666666667	1.66666666667	2.0	1.66666666667	2.33333333333	1.0
1998	8.66666666667	5.66666666667	5.33333333333	5.0	9.66666666667	3.33333333333	3.66666666667	2.0	2.66666666667	3.66666666667	1.66666666667	3.0	1.66666666667	2.66666666667	1.33333333333
1999	10.6666666667	6.0	5.0	4.33333333333	9.33333333333	3.66666666667	3.66666666667	2.33333333333	3.66666666667	2.66666666667	1.66666666667	2.66666666667	1.66666666667	2.0	1.33333333333
2000	12.6666666667	6.0	5.33333333333	3.66666666667	8.33333333333	3.33333333333	3.33333333333	3.33333333333	4.0	2.0	1.66666666667	3.33333333333	2.33333333333	1.33333333333	1.66666666667
2001	11.6666666667	6.66666666667	6.0	4.66666666667	7.66666666667	3.33333333333	4.33333333333	5.0	3.66666666667	1.66666666667	1.33333333333	3.66666666667	2.33333333333	2.0	3.0
2002	10.3333333333	5.66666666667	7.0	5.33333333333	7.66666666667	2.33333333333	3.33333333333	5.33333333333	3.33333333333	1.33333333333	1.0	4.66666666667	2.0	2.66666666667	3.0
2003	7.66666666667	5.0	6.33333333333	3.66666666667	5.66666666667	1.66666666667	3.33333333333	5.0	3.0	2.33333333333	1.0	4.66666666667	1.33333333333	3.0	2.66666666667
2004	8.0	3.0	5.0	3.0	4.66666666667	1.33333333333	2.33333333333	3.0	3.0	3.0	1.33333333333	4.0	1.66666666667	2.0	1.0
2005	7.0	3.66666666667	4.66666666667	3.33333333333	4.0	1.66666666667	4.0	3.0	2.33333333333	3.0	1.66666666667	3.33333333333	2.66666666667	1.33333333333	1.66666666667
2006	8.0	3.33333333333	4.33333333333	4.0	5.33333333333	2.0	3.0	3.0	2.0	3.66666666667	1.66666666667	4.33333333333	2.66666666667	1.0	3.0
2007	8.33333333333	4.66666666667	6.33333333333	3.33333333333	4.33333333333	4.0	3.0	4.33333333333	2.0	3.33333333333	2.0	5.66666666667	2.0	1.0	3.66666666667
2008	8.33333333333	4.66666666667	7.33333333333	3.0	5.33333333333	5.0	2.33333333333	3.66666666667	2.0	4.0	3.66666666667	7.0	1.33333333333	1.0	3.33333333333
2009	6.66666666667	5.0	8.33333333333	2.33333333333	5.33333333333	5.0	3.0	3.66666666667	4.66666666667	3.33333333333	4.66666666667	6.33333333333	1.33333333333	1.0	2.33333333333
2010	4.33333333333	4.66666666667	7.0	3.33333333333	7.33333333333	3.0	2.66666666667	2.66666666667	4.33333333333	4.0	4.0	6.0	2.33333333333	1.0	2.33333333333
2011	4.0	7.0	5.0	3.0	8.66666666667	2.33333333333	2.0	3.0	4.0	4.0	2.66666666667	4.33333333333	2.0	1.0	3.33333333333
2012	5.66666666667	8.0	4.0	3.66666666667	9.33333333333	3.0	1.33333333333	2.66666666667	2.33333333333	3.33333333333	2.0	3.66666666667	2.33333333333	1.0	4.0
2013	7.0	9.0	3.0	3.5	9.0	3.5	1.5	3.0	2.5	2.5	2.5	2.0	1.5	1.0	4.5
2014	8.0	7.0	3.0	4.0	8.0	4.0	1.0	3.0	4.0	2.0	2.0	3.0	2.0	1.0	4.0
