year	ecosystem	forest	habitat	wetland	grassland	lowland	rainforest	woodland	riparian	savanna	upland
1995	56.3333333333	40.0	12.3333333333	7.0	5.33333333333	5.33333333333	4.0	4.66666666667	2.33333333333	2.33333333333	1.33333333333
1996	56.6666666667	42.0	12.6666666667	6.66666666667	5.66666666667	5.66666666667	4.0	5.66666666667	2.66666666667	2.33333333333	1.66666666667
1997	54.0	40.6666666667	13.0	5.0	6.66666666667	3.66666666667	4.0	5.0	5.33333333333	3.33333333333	1.33333333333
1998	69.3333333333	47.0	15.0	6.0	9.0	3.66666666667	5.66666666667	5.0	6.66666666667	4.66666666667	2.0
1999	80.3333333333	50.0	14.3333333333	7.33333333333	7.33333333333	4.0	6.33333333333	3.0	6.33333333333	6.66666666667	2.0
2000	92.0	53.6666666667	13.6666666667	9.0	7.33333333333	6.66666666667	5.66666666667	2.66666666667	3.66666666667	5.66666666667	3.66666666667
2001	83.6666666667	48.0	13.0	7.33333333333	6.66666666667	6.66666666667	3.66666666667	1.66666666667	2.33333333333	4.66666666667	3.66666666667
2002	81.0	50.0	13.6666666667	6.33333333333	11.0	6.33333333333	4.0	3.0	2.66666666667	3.0	3.33333333333
2003	74.0	51.3333333333	14.3333333333	7.66666666667	13.3333333333	5.33333333333	4.0	4.0	3.33333333333	6.33333333333	1.66666666667
2004	80.0	54.3333333333	13.3333333333	7.66666666667	14.6666666667	4.0	5.0	3.66666666667	3.0	6.66666666667	1.33333333333
2005	80.6666666667	58.6666666667	11.6666666667	8.0	11.6666666667	6.33333333333	6.0	2.66666666667	3.0	9.66666666667	1.33333333333
2006	89.6666666667	62.0	10.3333333333	9.33333333333	11.6666666667	7.0	5.33333333333	3.0	3.0	7.0	1.66666666667
2007	111.0	71.0	16.6666666667	12.0	12.3333333333	7.66666666667	5.0	3.33333333333	3.66666666667	8.0	2.0
2008	141.333333333	74.3333333333	21.3333333333	15.0	11.6666666667	7.0	3.33333333333	4.33333333333	4.66666666667	5.0	2.33333333333
2009	144.0	72.3333333333	22.6666666667	14.0	9.66666666667	4.66666666667	3.0	4.0	4.0	4.66666666667	2.66666666667
2010	130.333333333	64.0	15.6666666667	13.3333333333	9.0	5.33333333333	2.33333333333	4.0	5.0	4.66666666667	3.0
2011	112.0	55.0	13.3333333333	10.3333333333	8.33333333333	5.66666666667	3.0	2.66666666667	3.0	4.33333333333	2.66666666667
2012	117.333333333	49.3333333333	12.0	9.33333333333	9.0	7.0	3.66666666667	2.33333333333	3.33333333333	4.33333333333	2.0
2013	122.5	48.5	13.0	9.0	6.5	8.0	4.0	2.0	2.0	2.5	1.0
2014	124.0	44.0	11.0	11.0	10.0	6.0	3.0	3.0	3.0	3.0	1.0
